,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
1,CLAN3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
2,CLSC6,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","7,47%",000,"1.926.270.000,00",000,"4,16%"
3,CSTB3,15000,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
4,CSTB4,14769,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,IVTT3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
6,MNSA3,042,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
7,MNSA4,047,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,PMET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
9,POPR4,1017,000,000,0000,"0,00%",0,000,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
10,PORP4,240,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
11,VNET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","27,34%",000,"9.132.030.000,00",000,"-1,42%"
12,EUCA3,836,"-1.701,75",060,1604,"0,50%",345,"-3.722,57",1141,-248,1763,"14,05%","2,26%",100,"3,27%","-0,04%","2.555,30","1.288.300.000,00",034,"-15,02%"
13,EUCA4,485,-98726,035,0931,"0,94%",200,"-2.159,63",662,-144,1283,"14,05%","2,26%",100,"3,27%","-0,04%","217.715,00","1.288.300.000,00",034,"-15,02%"
14,MAPT4,14900,-85582,-2478,0000,"0,00%",177142,000,"-1.095,45",0,"-1.095,45","0,00%","0,00%",0,"0,00%","2,90%","210.690,00","-5.525.000,00",000,"0,00%"
15,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
16,MAPT3,6500,-37334,-1081,0000,"0,00%",77277,000,-47788,0,-47788,"0,00%","0,00%",0,"0,00%","2,90%","4.498,95","-5.525.000,00",000,"0,00%"
17,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
18,CASN3,1800,-33734,991,36584,"0,00%",3831,-17970,"15.545,80",-800,"16.784,70","0,24%","-10,85%",86,"0,03%","-2,94%",000,"1.298.590.000,00",088,"-11,77%"
19,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
20,SQIA3,6997,-24228,930,5285,"0,08%",2944,4331,33801,-626,35400,"1,56%","-2,18%",147,"0,97%","-3,84%","4.292.100,00","88.651.000,00",073,"22,73%"
21,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,0,-52396,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
22,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
23,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",0,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
24,BRPR3,1100,-18830,078,11038,"0,00%",467,864,1450,-155,2021,"76,14%","-5,86%",225,"3,52%","-0,41%","6.543.050,00","5.763.990.000,00",044,"-14,41%"
25,IDVL11,14000,-14936,3813,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-25,53%",000,"318.706.000,00",000,"0,00%"
26,ANIM3,2100,-12213,240,1471,"0,03%",837,1615,2551,-179,3777,"5,77%","-1,20%",139,"3,48%","-1,97%","7.321.160,00","686.449.000,00",128,"7,50%"
27,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
28,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
29,DIRR3,1299,-10319,156,1397,"7,64%",418,139,1001,-166,1075,"13,96%","-0,55%",292,"5,06%","-1,51%","8.317.270,00","1.275.160.000,00",072,"-10,38%"
30,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
31,GOLL4,3320,-8687,-155,0934,"0,00%",819,-287,1458,-69,2190,"6,41%","1,49%",52,"7,11%","1,79%","172.237.000,00","-7.477.070.000,00",-102,"5,91%"
32,EVEN3,1132,-7551,149,1338,"0,00%",512,094,3233,240,4102,"4,14%","-0,16%",298,"1,87%","-1,97%","20.102.900,00","1.651.550.000,00",078,"-6,00%"
33,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
34,GLOB4,3049,-7148,2141,1512,"0,00%",1857,-1281,3393,-446,3739,"4,45%","-2,11%",77,"8,16%","-29,95%",000,"1.850.000.000,00",231,"7,92%"
35,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
36,TELB3,15000,-6531,5385,168530,"0,00%",2086,5085,-9394,-241,-9545,"-179,40%","-258,05%",177,"-2,37%","-82,45%","2.300.880,00","138.178.000,00",198,"-24,35%"
37,MSPA4,4801,-6497,034,2291,"6,19%",212,323,-1582,-80,-1414,"-14,48%","-3,53%",259,"-1,43%","-0,52%",000,"907.454.000,00",002,"-22,03%"
38,MSPA3,4700,-6360,033,2243,"5,74%",208,317,-1549,-78,-1381,"-14,48%","-3,53%",259,"-1,43%","-0,52%","2.456,82","907.454.000,00",002,"-22,03%"
39,PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
40,PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
41,BTOW3,4700,-4884,660,3416,"0,00%",1517,529,91877,-668,"1.031,10","0,37%","-7,00%",212,"0,35%","-13,51%","143.031.000,00","3.257.820.000,00",249,"-8,10%"
42,TOYB4,250,-4796,-543,5256,"0,00%",4405,-647,-904,-383,-915,"-58,16%","-10,96%",49,"-59,36%","11,31%","14.344,80","-13.852.000,00",-007,"-26,99%"
43,IMBI3,501,-4642,281,"2.659,020","0,00%",518,-221,-9712,-37,-10472,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
44,CLAN4,300,-4492,047,15151,"0,00%",406,-1550,-8256,-636,-9743,"-18,35%","-33,73%",73,"-0,50%","-1,05%",000,"1.012.240.000,00",008,"-63,96%"
45,EMBR3,1795,-4481,091,0900,"0,11%",308,137,1873,184,1255,"4,81%","-1,84%",137,"1,94%","-2,03%","44.876.800,00","14.606.700.000,00",007,"-3,73%"
46,CESP6,2782,-4443,131,5793,"3,19%",780,2936,-5188,-230,-5988,"-11,17%","-13,04%",166,"-1,57%","-2,95%","32.576.000,00","6.944.190.000,00",027,"-17,80%"
